image_id,record_ids,file_path,description,source_id,source_page_url,asset_url,source_date,collected_at,license,notes
MULTI_IMG001,HNAU-C001|HNAU-C002,assets/hunan-universities-images/hnau-01.jpeg,湖南农业大学校名与校园环境头图,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,https://5b0988e595225.cdn.sohucs.com/images/20190318/aa407cc485074c338549c501b8d7de45.jpeg,2019-03-18,2026-07-18,未知,校园情境图；不能证明具体食堂现状
MULTI_IMG002,HNAU-C001,assets/hunan-universities-images/hnau-02.jpeg,湖南农业大学校园建筑情境图,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,http://5b0988e595225.cdn.sohucs.com/images/20190318/45bae6c7338940fe9f8c5bf2d27ae176.jpeg,2019-03-18,2026-07-18,未知,仅作学校环境索引
MULTI_IMG003,HNAU-C002,assets/hunan-universities-images/hnau-03.jpeg,湖南农业大学校园湖景情境图,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,http://5b0988e595225.cdn.sohucs.com/images/20190318/6d736edb92334eb1a232ec892e87b2e5.jpeg,2019-03-18,2026-07-18,未知,仅作学校环境索引
MULTI_IMG004,HNAU-S001|HNAU-S002|HNAU-S003|HNAU-S004|HNAU-S005,assets/hunan-universities-images/hnau-04.jpeg,湖南农大北门外东湖小区生活圈,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,http://5b0988e595225.cdn.sohucs.com/images/20190318/968fe269ada14208b65507ff0384a496.jpeg,2019-03-18,2026-07-18,未知,周边区域情境图
MULTI_IMG005,HNAU-S001|HNAU-S002|HNAU-S003|HNAU-S004|HNAU-S005,assets/hunan-universities-images/hnau-05.jpeg,东湖小区沿街商铺与摊位环境,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,http://5b0988e595225.cdn.sohucs.com/images/20190318/b31abf7b5e164e13ab5e8b3dfdade54f.jpeg,2019-03-18,2026-07-18,未知,周边区域情境图
MULTI_IMG006,HNAU-S001,assets/hunan-universities-images/hnau-06.jpeg,东湖小区刘聋子牛肉粉所在沿街位置,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,http://5b0988e595225.cdn.sohucs.com/images/20190318/b4b827d5314649a2bc2f9b1687e3aaea.jpeg,2019-03-18,2026-07-18,未知,招牌位于画面背景；按原文图文顺序关联
MULTI_IMG007,HNAU-S001,assets/hunan-universities-images/hnau-07.jpeg,刘聋子牛肉粉招牌近景,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,http://5b0988e595225.cdn.sohucs.com/images/20190318/528b6ec80ca440c69a31d8200feedb73.jpeg,2019-03-18,2026-07-18,未知,招牌可读；营业状态仍需核验
MULTI_IMG008,HNAU-S002,assets/hunan-universities-images/hnau-08.jpeg,梅菜扣肉饼摊位招牌,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,http://5b0988e595225.cdn.sohucs.com/images/20190318/97933bdc553a4f70be57afe116770138.jpeg,2019-03-18,2026-07-18,未知,招牌为品类名称
MULTI_IMG009,HNAU-S002,assets/hunan-universities-images/hnau-09.jpeg,梅干菜扣肉饼制作成品,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,http://5b0988e595225.cdn.sohucs.com/images/20190318/e7bb3212e734492cb2c6ba652a15f60e.jpeg,2019-03-18,2026-07-18,未知,按原文图文顺序关联
MULTI_IMG010,HNAU-S002,assets/hunan-universities-images/hnau-10.jpeg,梅干菜扣肉饼手持包装与成品,MULTI_SRC001,https://www.sohu.com/a/302106221_391114,http://5b0988e595225.cdn.sohucs.com/images/20190318/65df0cd3a1574cd78c564470ccd39ef1.jpeg,2019-03-18,2026-07-18,未知,按原文图文顺序关联
